timestep,timestamp,scenario,supply_scenario,zone_id,crop,soil_type,area_m2,available_water,zone_priority,zone_stress,zone_demand,irrigation_command,irrigation_request_mm,allocation_factor,allocated_irrigation_mm,unmet_demand_mm,allocation_ratio,water_volume_requested_L,water_volume_allocated_L,water_volume_unmet_L,rainfall_mm,effective_rainfall_mm,soil_moisture,moisture_error,et0_mm_day,etc_mm_step,water_balance_residual_mm
16,2026-06-01 00:16:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.529,9.2326,20.1767,0.0404,69.5409,0.0281,0.0123,0.6954,4.0353,2.8062,1.2291,0.0,0.0,55.0683,4.9317,0.0003,0.0003,0.0
16,2026-06-01 00:16:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,55.666,9.2326,61.0671,0.1221,91.0239,0.1112,0.011,0.9102,14.6561,13.3406,1.3155,0.0,0.0,42.1477,12.8523,0.0003,0.0002,0.0
16,2026-06-01 00:16:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.159,9.2326,5.3651,0.0107,57.4405,0.0062,0.0046,0.5744,0.8584,0.4931,0.3653,0.0,0.0,65.0093,-0.0093,0.0003,0.0003,0.0
17,2026-06-01 00:17:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.5017,9.2326,20.0886,0.0402,69.2759,0.0278,0.0123,0.6928,4.0177,2.7833,1.2344,0.0,0.0,55.0723,4.9277,0.0002,0.0003,0.0
17,2026-06-01 00:17:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,55.6225,9.2326,60.9771,0.122,91.0099,0.111,0.011,0.9101,14.6345,13.3188,1.3157,0.0,0.0,42.157,12.843,0.0002,0.0002,0.0
17,2026-06-01 00:17:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1595,9.2326,5.3653,0.0107,57.4405,0.0062,0.0046,0.5744,0.8584,0.4931,0.3654,0.0,0.0,65.0099,-0.0099,0.0002,0.0003,0.0
18,2026-06-01 00:18:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.475,9.2326,20.0027,0.04,69.0195,0.0276,0.0124,0.6902,4.0005,2.7612,1.2394,0.0,0.0,55.0762,4.9238,0.0003,0.0003,0.0
18,2026-06-01 00:18:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,55.5796,9.2326,60.888,0.1218,90.9965,0.1108,0.011,0.91,14.6131,13.2974,1.3157,0.0,0.0,42.1662,12.8338,0.0003,0.0002,0.0
18,2026-06-01 00:18:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1601,9.2326,5.3655,0.0107,57.4405,0.0062,0.0046,0.5744,0.8585,0.4931,0.3654,0.0,0.0,65.0105,-0.0105,0.0003,0.0003,0.0
19,2026-06-01 00:19:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.4484,9.2326,19.9167,0.0398,68.765,0.0274,0.0124,0.6876,3.9833,2.7391,1.2442,0.0,0.0,55.0801,4.9199,0.0002,0.0003,0.0
19,2026-06-01 00:19:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,55.5369,9.2326,60.7989,0.1216,90.9827,0.1106,0.011,0.9098,14.5917,13.276,1.3158,0.0,0.0,42.1754,12.8246,0.0002,0.0002,0.0
19,2026-06-01 00:19:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1606,9.2326,5.3657,0.0107,57.4405,0.0062,0.0046,0.5744,0.8585,0.4931,0.3654,0.0,0.0,65.0111,-0.0111,0.0002,0.0003,0.0
20,2026-06-01 00:20:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.4217,9.2326,19.8304,0.0397,68.5148,0.0272,0.0125,0.6851,3.9661,2.7173,1.2487,0.0,0.0,55.084,4.916,0.0001,0.0001,0.0
20,2026-06-01 00:20:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,55.494,9.2326,60.7103,0.1214,90.9687,0.1105,0.011,0.9097,14.5705,13.2546,1.3159,0.0,0.0,42.1847,12.8153,0.0001,0.0001,0.0
20,2026-06-01 00:20:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.161,9.2326,5.3658,0.0107,57.4405,0.0062,0.0046,0.5744,0.8585,0.4931,0.3654,0.0,0.0,65.0116,-0.0116,0.0001,0.0001,0.0
21,2026-06-01 00:21:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.3955,9.2326,19.7458,0.0395,68.2721,0.027,0.0125,0.6827,3.9492,2.6962,1.253,0.0,0.0,55.0878,4.9122,0.0003,0.0004,0.0
21,2026-06-01 00:21:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,55.4517,9.2326,60.6227,0.1212,90.9555,0.1103,0.011,0.9096,14.5495,13.2335,1.3159,0.0,0.0,42.1939,12.8061,0.0003,0.0003,0.0
21,2026-06-01 00:21:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1616,9.2326,5.366,0.0107,57.4405,0.0062,0.0046,0.5744,0.8586,0.4932,0.3654,0.0,0.0,65.0122,-0.0122,0.0003,0.0004,0.0
22,2026-06-01 00:22:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.3694,9.2326,19.6605,0.0393,68.0293,0.0267,0.0126,0.6803,3.9321,2.675,1.2571,0.0,0.0,55.0916,4.9084,0.0002,0.0003,0.0
22,2026-06-01 00:22:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,55.4093,9.2326,60.5349,0.1211,90.942,0.1101,0.011,0.9094,14.5284,13.2124,1.316,0.0,0.0,42.2031,12.7969,0.0002,0.0002,0.0
22,2026-06-01 00:22:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1621,9.2326,5.3662,0.0107,57.4405,0.0062,0.0046,0.5744,0.8586,0.4932,0.3654,0.0,0.0,65.0128,-0.0128,0.0002,0.0003,0.0
23,2026-06-01 00:23:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.3432,9.2326,19.575,0.0392,67.7892,0.0265,0.0126,0.6779,3.915,2.654,1.2611,0.0,0.0,55.0954,4.9046,0.0002,0.0003,0.0
23,2026-06-01 00:23:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,55.3663,9.2326,60.4457,0.1209,90.928,0.1099,0.011,0.9093,14.507,13.1909,1.3161,0.0,0.0,42.2124,12.7876,0.0002,0.0002,0.0
23,2026-06-01 00:23:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1626,9.2326,5.3663,0.0107,57.4405,0.0062,0.0046,0.5744,0.8586,0.4932,0.3654,0.0,0.0,65.0134,-0.0134,0.0002,0.0003,0.0
24,2026-06-01 00:24:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.3171,9.2326,19.4896,0.039,67.5534,0.0263,0.0126,0.6755,3.8979,2.6332,1.2647,0.0,0.0,55.0992,4.9008,0.0002,0.0002,0.0
24,2026-06-01 00:24:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,55.3238,9.2326,60.3575,0.1207,90.9143,0.1097,0.011,0.9091,14.4858,13.1696,1.3161,0.0,0.0,42.2216,12.7784,0.0002,0.0002,0.0
24,2026-06-01 00:24:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1632,9.2326,5.3665,0.0107,57.4405,0.0062,0.0046,0.5744,0.8586,0.4932,0.3654,0.0,0.0,65.014,-0.014,0.0002,0.0003,0.0
25,2026-06-01 00:25:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.2916,9.2326,19.4063,0.0388,67.3253,0.0261,0.0127,0.6733,3.8813,2.6131,1.2682,0.0,0.0,55.1029,4.8971,0.0003,0.0003,0.0
25,2026-06-01 00:25:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,55.2815,9.2326,60.2692,0.1205,90.9008,0.1096,0.011,0.909,14.4646,13.1485,1.3162,0.0,0.0,42.2308,12.7692,0.0003,0.0002,0.0
25,2026-06-01 00:25:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1637,9.2326,5.3667,0.0107,57.4405,0.0062,0.0046,0.5744,0.8587,0.4932,0.3654,0.0,0.0,65.0146,-0.0146,0.0003,0.0003,0.0
26,2026-06-01 00:26:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.2661,9.2326,19.3229,0.0386,67.0987,0.0259,0.0127,0.671,3.8646,2.5931,1.2715,0.0,0.0,55.1066,4.8934,0.0002,0.0002,0.0
26,2026-06-01 00:26:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,55.2387,9.2326,60.1806,0.1204,90.8869,0.1094,0.011,0.9089,14.4433,13.1271,1.3162,0.0,0.0,42.2401,12.7599,0.0002,0.0001,0.0
26,2026-06-01 00:26:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1642,9.2326,5.3669,0.0107,57.4405,0.0062,0.0046,0.5744,0.8587,0.4932,0.3655,0.0,0.0,65.0152,-0.0152,0.0002,0.0002,0.0
27,2026-06-01 00:27:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.2406,9.2326,19.2397,0.0385,66.877,0.0257,0.0127,0.6688,3.8479,2.5734,1.2746,0.0,0.0,55.1103,4.8897,0.0001,0.0001,0.0
27,2026-06-01 00:27:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,55.1965,9.2326,60.0932,0.1202,90.8729,0.1092,0.011,0.9087,14.4224,13.106,1.3163,0.0,0.0,42.2493,12.7507,0.0001,0.0001,0.0
27,2026-06-01 00:27:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1648,9.2326,5.367,0.0107,57.4405,0.0062,0.0046,0.5744,0.8587,0.4933,0.3655,0.0,0.0,65.0158,-0.0158,0.0001,0.0001,0.0
28,2026-06-01 00:28:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.2158,9.2326,19.1588,0.0383,66.6635,0.0255,0.0128,0.6666,3.8318,2.5544,1.2774,0.0,0.0,55.1139,4.8861,0.0003,0.0003,0.0
28,2026-06-01 00:28:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,55.1542,9.2326,60.0054,0.12,90.8597,0.109,0.011,0.9086,14.4013,13.085,1.3163,0.0,0.0,42.2586,12.7414,0.0003,0.0002,0.0
28,2026-06-01 00:28:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1653,9.2326,5.3672,0.0107,57.4405,0.0062,0.0046,0.5744,0.8588,0.4933,0.3655,0.0,0.0,65.0164,-0.0164,0.0003,0.0003,0.0
29,2026-06-01 00:29:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.191,9.2326,19.0775,0.0382,66.4506,0.0254,0.0128,0.6645,3.8155,2.5354,1.2801,0.0,0.0,55.1175,4.8825,0.0003,0.0003,0.0
29,2026-06-01 00:29:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,55.1124,9.2326,59.9187,0.1198,90.8711,0.1089,0.0109,0.9087,14.3805,13.0677,1.3128,0.0,0.0,42.2678,12.7322,0.0003,0.0002,0.0
29,2026-06-01 00:29:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1658,9.2326,5.3674,0.0107,57.4405,0.0062,0.0046,0.5744,0.8588,0.4933,0.3655,0.0,0.0,65.017,-0.017,0.0003,0.0003,0.0
30,2026-06-01 00:30:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.1662,9.2326,18.9956,0.038,66.238,0.0252,0.0128,0.6624,3.7991,2.5165,1.2827,0.0,0.0,55.1211,4.8789,0.0002,0.0003,0.0
30,2026-06-01 00:30:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,55.0707,9.2326,59.8319,0.1197,90.8849,0.1088,0.0109,0.9088,14.3597,13.0508,1.3089,0.0,0.0,42.277,12.723,0.0002,0.0002,0.0
30,2026-06-01 00:30:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1663,9.2326,5.3675,0.0107,57.4405,0.0062,0.0046,0.5744,0.8588,0.4933,0.3655,0.0,0.0,65.0175,-0.0175,0.0002,0.0003,0.0
31,2026-06-01 00:31:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.1413,9.2326,18.9137,0.0378,66.03,0.025,0.0128,0.6603,3.7827,2.4977,1.285,0.0,0.0,55.1247,4.8753,0.0001,0.0002,0.0
31,2026-06-01 00:31:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,55.0286,9.2326,59.7442,0.1195,90.8987,0.1086,0.0109,0.909,14.3386,13.0336,1.305,0.0,0.0,42.2863,12.7137,0.0001,0.0001,0.0
31,2026-06-01 00:31:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1668,9.2326,5.3677,0.0107,57.4405,0.0062,0.0046,0.5744,0.8588,0.4933,0.3655,0.0,0.0,65.0181,-0.0181,0.0001,0.0002,0.0
32,2026-06-01 00:32:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.1172,9.2326,18.8339,0.0377,65.8286,0.0248,0.0129,0.6583,3.7668,2.4796,1.2872,0.0,0.0,55.1282,4.8718,0.0002,0.0003,0.0
32,2026-06-01 00:32:00,Normal,Normal Supply,2,Wheat,Sandy,120.0,100.0,40.0,54.9871,9.2326,59.6721,0.1193,90.9098,0.1085,0.0108,0.9091,14.3213,13.0195,1.3018,0.0,0.0,42.2955,12.7045,0.0002,0.0002,0.0
32,2026-06-01 00:32:00,Normal,Normal Supply,3,Maize,Clay,80.0,100.0,85.0,14.1674,9.2326,5.3679,0.0107,57.4405,0.0062,0.0046,0.5744,0.8589,0.4933,0.3655,0.0,0.0,65.0187,-0.0187,0.0002,0.0003,0.0
33,2026-06-01 00:33:00,Normal,Normal Supply,1,Tomato,Loam,100.0,100.0,70.0,25.093,9.2326,18.7539,0.0375,65.6282,0.0246,0.0129,0.6563,3.7508,2.4616,1.2892,0.0,0.0,55.1317,4.8683,0.0001,0.0002,0.0
