step,timestamp,scenario,zone_id,crop,soil_moisture,target_moisture,moisture_error,rsm,soil_stress,weather_stress,et0,etc,rainfall,effective_rainfall,crop_water_deficit,water_demand,irrigation_command,irrigation_application,infiltration,actual_et,drainage,next_soil_moisture,water_balance_residual,storage_mm
18,2026-06-01 00:18:00,Normal,1,Tomato,55.1049,60.0,4.8951,0.669,25.28,16.03,0.000283,0.000325,0.0,0.0,0.000325,9.23,19.36,0.038722,0.0387,0.0003,0.0,55.1104,0.0,385.7342
19,2026-06-01 00:19:00,Normal,1,Tomato,55.1104,60.0,4.8896,0.6691,25.24,15.98,0.000235,0.00027,0.0,0.0,0.00027,9.23,19.24,0.038475,0.0385,0.0003,0.0,55.1158,0.0,385.7726
20,2026-06-01 00:20:00,Normal,1,Tomato,55.1158,60.0,4.8842,0.6692,25.2,15.93,0.000119,0.000137,0.0,0.0,0.000137,9.23,19.12,0.038232,0.0382,0.0001,0.0,55.1213,0.0,385.8108
21,2026-06-01 00:21:00,Normal,1,Tomato,55.1213,60.0,4.8787,0.6694,25.16,15.86,0.00034,0.000391,0.0,0.0,0.000391,9.23,18.99,0.037982,0.038,0.0004,0.0,55.1266,0.0,385.8489
22,2026-06-01 00:22:00,Normal,1,Tomato,55.1266,60.0,4.8734,0.6695,25.13,16.05,0.000246,0.000283,0.0,0.0,0.000283,9.23,18.87,0.037741,0.0377,0.0003,0.0,55.132,0.0,385.8865
23,2026-06-01 00:23:00,Normal,1,Tomato,55.132,60.0,4.868,0.6696,25.09,15.86,0.00022,0.000253,0.0,0.0,0.000253,9.23,18.75,0.037494,0.0375,0.0003,0.0,55.1373,0.0,385.924
24,2026-06-01 00:24:00,Normal,1,Tomato,55.1373,60.0,4.8627,0.6697,25.05,15.81,0.00021,0.000241,0.0,0.0,0.000241,9.23,18.63,0.037252,0.0373,0.0002,0.0,55.1426,0.0,385.9612
25,2026-06-01 00:25:00,Normal,1,Tomato,55.1426,60.0,4.8574,0.6698,25.02,15.8,0.000264,0.000304,0.0,0.0,0.000304,9.23,18.5,0.037009,0.037,0.0003,0.0,55.1478,0.0,385.9982
26,2026-06-01 00:26:00,Normal,1,Tomato,55.1478,60.0,4.8522,0.67,24.98,15.87,0.000176,0.000202,0.0,0.0,0.000202,9.23,18.44,0.036887,0.0369,0.0002,0.0,55.1531,0.0,386.0349
27,2026-06-01 00:27:00,Normal,1,Tomato,55.1531,60.0,4.8469,0.6701,24.95,15.83,8.5e-05,9.8e-05,0.0,0.0,9.8e-05,9.23,18.44,0.036879,0.0369,0.0001,0.0,55.1583,0.0,386.0716
28,2026-06-01 00:28:00,Normal,1,Tomato,55.1583,60.0,4.8417,0.6702,24.91,15.81,0.00028,0.000322,0.0,0.0,0.000322,9.23,18.44,0.036871,0.0369,0.0003,0.0,55.1636,0.0,386.1084
29,2026-06-01 00:29:00,Normal,1,Tomato,55.1636,60.0,4.8364,0.6703,24.87,15.79,0.000263,0.000302,0.0,0.0,0.000302,9.23,18.43,0.036863,0.0369,0.0003,0.0,55.1688,0.0,386.1449
30,2026-06-01 00:30:00,Normal,1,Tomato,55.1688,60.0,4.8312,0.6704,24.84,15.97,0.000245,0.000282,0.0,0.0,0.000282,9.23,18.43,0.036855,0.0369,0.0003,0.0,55.174,0.0,386.1815
31,2026-06-01 00:31:00,Normal,1,Tomato,55.174,60.0,4.826,0.6705,24.8,15.65,0.000131,0.000151,0.0,0.0,0.000151,9.23,18.42,0.036847,0.0368,0.0002,0.0,55.1793,0.0,386.2181
32,2026-06-01 00:32:00,Normal,1,Tomato,55.1793,60.0,4.8207,0.6707,24.76,15.61,0.000225,0.000259,0.0,0.0,0.000259,9.23,18.42,0.036838,0.0368,0.0003,0.0,55.1845,0.0,386.2548
33,2026-06-01 00:33:00,Normal,1,Tomato,55.1845,60.0,4.8155,0.6708,24.73,15.55,0.000139,0.00016,0.0,0.0,0.00016,9.23,18.42,0.03683,0.0368,0.0002,0.0,55.1897,0.0,386.2914
34,2026-06-01 00:34:00,Normal,1,Tomato,55.1897,60.0,4.8103,0.6709,24.69,15.7,0.000156,0.000179,0.0,0.0,0.000179,9.23,18.41,0.036822,0.0368,0.0002,0.0,55.195,0.0,386.3281
35,2026-06-01 00:35:00,Normal,1,Tomato,55.195,60.0,4.805,0.671,24.65,15.73,0.000159,0.000183,0.0,0.0,0.000183,9.23,18.41,0.036814,0.0368,0.0002,0.0,55.2002,0.0,386.3647
36,2026-06-01 00:36:00,Normal,1,Tomato,55.2002,60.0,4.7998,0.6711,24.62,15.57,0.000247,0.000284,0.0,0.0,0.000284,9.23,18.4,0.036806,0.0368,0.0003,0.0,55.2054,0.0,386.4013
37,2026-06-01 00:37:00,Normal,1,Tomato,55.2054,60.0,4.7946,0.6712,24.58,15.46,0.000163,0.000187,0.0,0.0,0.000187,9.23,18.4,0.036798,0.0368,0.0002,0.0,55.2106,0.0,386.4378
38,2026-06-01 00:38:00,Normal,1,Tomato,55.2106,60.0,4.7894,0.6713,24.54,15.44,0.000185,0.000213,0.0,0.0,0.000213,9.23,18.39,0.036789,0.0368,0.0002,0.0,55.2159,0.0,386.4744
39,2026-06-01 00:39:00,Normal,1,Tomato,55.2159,60.0,4.7841,0.6715,24.51,15.58,0.000323,0.000371,0.0,0.0,0.000371,9.23,18.39,0.036781,0.0368,0.0004,0.0,55.2211,0.0,386.511
40,2026-06-01 00:40:00,Normal,1,Tomato,55.2211,60.0,4.7789,0.6716,24.47,15.57,0.000242,0.000278,0.0,0.0,0.000278,9.23,18.39,0.036773,0.0368,0.0003,0.0,55.2263,0.0,386.5474
41,2026-06-01 00:41:00,Normal,1,Tomato,55.2263,60.0,4.7737,0.6717,24.43,15.52,0.000226,0.00026,0.0,0.0,0.00026,9.23,18.38,0.036765,0.0368,0.0003,0.0,55.2315,0.0,386.5839
42,2026-06-01 00:42:00,Normal,1,Tomato,55.2315,60.0,4.7685,0.6718,24.4,15.36,0.000185,0.000213,0.0,0.0,0.000213,9.23,18.38,0.036757,0.0368,0.0002,0.0,55.2367,0.0,386.6204
43,2026-06-01 00:43:00,Normal,1,Tomato,55.2367,60.0,4.7633,0.6719,24.36,15.45,0.000169,0.000194,0.0,0.0,0.000194,9.23,18.37,0.036749,0.0367,0.0002,0.0,55.2419,0.0,386.6569
44,2026-06-01 00:44:00,Normal,1,Tomato,55.2419,60.0,4.7581,0.672,24.32,15.41,6e-05,6.9e-05,0.0,0.0,6.9e-05,9.23,18.37,0.036741,0.0367,0.0001,0.0,55.2472,0.0,386.6935
45,2026-06-01 00:45:00,Normal,1,Tomato,55.2472,60.0,4.7528,0.6722,24.29,15.39,0.000242,0.000278,0.0,0.0,0.000278,9.23,18.37,0.036732,0.0367,0.0003,0.0,55.2524,0.0,386.7302
46,2026-06-01 00:46:00,Normal,1,Tomato,55.2524,60.0,4.7476,0.6723,24.25,15.45,0.000219,0.000252,0.0,0.0,0.000252,9.23,18.36,0.036724,0.0367,0.0003,0.0,55.2576,0.0,386.7667
47,2026-06-01 00:47:00,Normal,1,Tomato,55.2576,60.0,4.7424,0.6724,24.21,15.35,0.000177,0.000204,0.0,0.0,0.000204,9.23,18.36,0.036715,0.0367,0.0002,0.0,55.2628,0.0,386.8032
48,2026-06-01 00:48:00,Normal,1,Tomato,55.2628,60.0,4.7372,0.6725,24.18,15.38,0.0002,0.00023,0.0,0.0,0.00023,9.23,18.35,0.036707,0.0367,0.0002,0.0,55.268,0.0,386.8397
49,2026-06-01 00:49:00,Normal,1,Tomato,55.268,60.0,4.732,0.6726,24.14,15.29,0.000232,0.000267,0.0,0.0,0.000267,9.23,18.35,0.036699,0.0367,0.0003,0.0,55.2732,0.0,386.8762
50,2026-06-01 00:50:00,Normal,1,Tomato,55.2732,60.0,4.7268,0.6727,24.1,15.29,9.3e-05,0.000107,0.0,0.0,0.000107,9.23,18.35,0.036691,0.0367,0.0001,0.0,55.2785,0.0,386.9126
51,2026-06-01 00:51:00,Normal,1,Tomato,55.2785,60.0,4.7215,0.6729,24.07,15.31,0.000139,0.00016,0.0,0.0,0.00016,9.23,18.34,0.036683,0.0367,0.0002,0.0,55.2837,0.0,386.9492
52,2026-06-01 00:52:00,Normal,1,Tomato,55.2837,60.0,4.7163,0.673,24.03,15.05,8.4e-05,9.7e-05,0.0,0.0,9.7e-05,9.23,18.34,0.036675,0.0367,0.0001,0.0,55.2889,0.0,386.9857
53,2026-06-01 00:53:00,Normal,1,Tomato,55.2889,60.0,4.7111,0.6731,23.99,15.16,0.000258,0.000297,0.0,0.0,0.000297,9.23,18.33,0.036666,0.0367,0.0003,0.0,55.2941,0.0,387.0223
54,2026-06-01 00:54:00,Normal,1,Tomato,55.2941,60.0,4.7059,0.6732,23.96,15.12,0.000227,0.000261,0.0,0.0,0.000261,9.23,18.33,0.036658,0.0367,0.0003,0.0,55.2993,0.0,387.0587
55,2026-06-01 00:55:00,Normal,1,Tomato,55.2993,60.0,4.7007,0.6733,23.92,15.08,5.2e-05,6e-05,0.0,0.0,6e-05,9.23,18.32,0.03665,0.0366,0.0001,0.0,55.3045,0.0,387.0951
56,2026-06-01 00:56:00,Normal,1,Tomato,55.3045,60.0,4.6955,0.6734,23.88,15.1,8.9e-05,0.000102,0.0,0.0,0.000102,9.23,18.32,0.036641,0.0366,0.0001,0.0,55.3097,0.0,387.1317
57,2026-06-01 00:57:00,Normal,1,Tomato,55.3097,60.0,4.6903,0.6735,23.85,15.27,0.000158,0.000182,0.0,0.0,0.000182,9.23,18.32,0.036633,0.0366,0.0002,0.0,55.315,0.0,387.1682
58,2026-06-01 00:58:00,Normal,1,Tomato,55.315,60.0,4.685,0.6737,23.81,14.99,0.000132,0.000152,0.0,0.0,0.000152,9.23,18.31,0.036625,0.0366,0.0002,0.0,55.3202,0.0,387.2047
59,2026-06-01 00:59:00,Normal,1,Tomato,55.3202,60.0,4.6798,0.6738,23.77,15.17,9.8e-05,0.000113,0.0,0.0,0.000113,9.23,18.31,0.036616,0.0366,0.0001,0.0,55.3254,0.0,387.2412
60,2026-06-01 01:00:00,Normal,1,Tomato,55.3254,60.0,4.6746,0.6739,23.73,14.87,0.000226,0.00026,0.0,0.0,0.00026,9.23,18.3,0.036608,0.0366,0.0003,0.0,55.3306,0.0,387.2777
61,2026-06-01 01:01:00,Normal,1,Tomato,55.3306,60.0,4.6694,0.674,23.7,14.99,0.000157,0.000181,0.0,0.0,0.000181,9.23,18.3,0.0366,0.0366,0.0002,0.0,55.3358,0.0,387.314
62,2026-06-01 01:02:00,Normal,1,Tomato,55.3358,60.0,4.6642,0.6741,23.66,15.02,0.000182,0.000209,0.0,0.0,0.000209,9.23,18.3,0.036591,0.0366,0.0002,0.0,55.341,0.0,387.3504
63,2026-06-01 01:03:00,Normal,1,Tomato,55.341,60.0,4.659,0.6742,23.62,15.04,0.000121,0.000139,0.0,0.0,0.000139,9.23,18.29,0.036583,0.0366,0.0001,0.0,55.3462,0.0,387.3868
64,2026-06-01 01:04:00,Normal,1,Tomato,55.3462,60.0,4.6538,0.6744,23.59,15.04,0.0002,0.00023,0.0,0.0,0.00023,9.23,18.29,0.036575,0.0366,0.0002,0.0,55.3514,0.0,387.4232
65,2026-06-01 01:05:00,Normal,1,Tomato,55.3514,60.0,4.6486,0.6745,23.55,15.03,0.000132,0.000152,0.0,0.0,0.000152,9.23,18.28,0.036567,0.0366,0.0002,0.0,55.3566,0.0,387.4595
66,2026-06-01 01:06:00,Normal,1,Tomato,55.3566,60.0,4.6434,0.6746,23.51,14.88,0.000111,0.000128,0.0,0.0,0.000128,9.23,18.28,0.036558,0.0366,0.0001,0.0,55.3618,0.0,387.4959
67,2026-06-01 01:07:00,Normal,1,Tomato,55.3618,60.0,4.6382,0.6747,23.47,14.85,0.00017,0.000196,0.0,0.0,0.000196,9.23,18.27,0.03655,0.0365,0.0002,0.0,55.367,0.0,387.5323
68,2026-06-01 01:08:00,Normal,1,Tomato,55.367,60.0,4.633,0.6748,23.44,14.97,4.9e-05,5.6e-05,0.0,0.0,5.6e-05,9.23,18.27,0.036541,0.0365,0.0001,0.0,55.3722,0.0,387.5687
69,2026-06-01 01:09:00,Normal,1,Tomato,55.3722,60.0,4.6278,0.6749,23.4,14.84,0.00021,0.000241,0.0,0.0,0.000241,9.23,18.27,0.036532,0.0365,0.0002,0.0,55.3774,0.0,387.6052
70,2026-06-01 01:10:00,Normal,1,Tomato,55.3774,60.0,4.6226,0.6751,23.36,14.71,0.00015,0.000172,0.0,0.0,0.000172,9.23,18.26,0.036524,0.0365,0.0002,0.0,55.3826,0.0,387.6415
71,2026-06-01 01:11:00,Normal,1,Tomato,55.3826,60.0,4.6174,0.6752,23.32,14.91,0.000185,0.000213,0.0,0.0,0.000213,9.23,18.26,0.036516,0.0365,0.0002,0.0,55.3877,0.0,387.6779
72,2026-06-01 01:12:00,Normal,1,Tomato,55.3877,60.0,4.6123,0.6753,23.29,14.7,6.8e-05,7.8e-05,0.0,0.0,7.8e-05,9.23,18.25,0.036508,0.0365,0.0001,0.0,55.3929,0.0,387.7142
73,2026-06-01 01:13:00,Normal,1,Tomato,55.3929,60.0,4.6071,0.6754,23.25,14.83,0.000107,0.000123,0.0,0.0,0.000123,9.23,18.25,0.036499,0.0365,0.0001,0.0,55.3981,0.0,387.7506
74,2026-06-01 01:14:00,Normal,1,Tomato,55.3981,60.0,4.6019,0.6755,23.21,14.78,8.7e-05,0.0001,0.0,0.0,0.0001,9.23,18.25,0.036491,0.0365,0.0001,0.0,55.4033,0.0,387.787
75,2026-06-01 01:15:00,Normal,1,Tomato,55.4033,60.0,4.5967,0.6756,23.17,14.81,0.000161,0.000185,0.0,0.0,0.000185,9.23,18.24,0.036482,0.0365,0.0002,0.0,55.4085,0.0,387.8234
76,2026-06-01 01:16:00,Normal,1,Tomato,55.4085,60.0,4.5915,0.6757,23.14,14.68,0.000121,0.000139,0.0,0.0,0.000139,9.23,18.24,0.036473,0.0365,0.0001,0.0,55.4137,0.0,387.8597
77,2026-06-01 01:17:00,Normal,1,Tomato,55.4137,60.0,4.5863,0.6759,23.1,14.72,9.9e-05,0.000114,0.0,0.0,0.000114,9.23,18.23,0.036465,0.0365,0.0001,0.0,55.4189,0.0,387.896
78,2026-06-01 01:18:00,Normal,1,Tomato,55.4189,60.0,4.5811,0.676,23.06,14.75,7e-05,8e-05,0.0,0.0,8e-05,9.23,18.23,0.036456,0.0365,0.0001,0.0,55.4241,0.0,387.9324
79,2026-06-01 01:19:00,Normal,1,Tomato,55.4241,60.0,4.5759,0.6761,23.02,14.63,3.1e-05,3.6e-05,0.0,0.0,3.6e-05,9.23,18.22,0.036448,0.0364,0.0,0.0,55.4293,0.0,387.9688
80,2026-06-01 01:20:00,Normal,1,Tomato,55.4293,60.0,4.5707,0.6762,22.99,14.69,0.000133,0.000153,0.0,0.0,0.000153,9.23,18.22,0.036439,0.0364,0.0002,0.0,55.4345,0.0,388.0052
81,2026-06-01 01:21:00,Normal,1,Tomato,55.4345,60.0,4.5655,0.6763,22.95,14.56,8.7e-05,0.0001,0.0,0.0,0.0001,9.23,18.22,0.036431,0.0364,0.0001,0.0,55.4397,0.0,388.0415
82,2026-06-01 01:22:00,Normal,1,Tomato,55.4397,60.0,4.5603,0.6764,22.91,14.57,7.4e-05,8.5e-05,0.0,0.0,8.5e-05,9.23,18.21,0.036422,0.0364,0.0001,0.0,55.4449,0.0,388.0778
83,2026-06-01 01:23:00,Normal,1,Tomato,55.4449,60.0,4.5551,0.6766,22.87,14.78,0.000199,0.000229,0.0,0.0,0.000229,9.23,18.21,0.036414,0.0364,0.0002,0.0,55.45,0.0,388.1141
84,2026-06-01 01:24:00,Normal,1,Tomato,55.45,60.0,4.55,0.6767,22.84,14.45,9.5e-05,0.000109,0.0,0.0,0.000109,9.23,18.2,0.036392,0.0364,0.0001,0.0,55.4552,0.0,388.1503
85,2026-06-01 01:25:00,Normal,1,Tomato,55.4552,60.0,4.5448,0.6768,22.8,14.6,0.0002,0.00023,0.0,0.0,0.00023,9.23,18.18,0.036363,0.0364,0.0002,0.0,55.4604,0.0,388.1866
86,2026-06-01 01:26:00,Normal,1,Tomato,55.4604,60.0,4.5396,0.6769,22.76,14.48,6.2e-05,7.1e-05,0.0,0.0,7.1e-05,9.23,18.17,0.036333,0.0363,0.0001,0.0,55.4656,0.0,388.2227
87,2026-06-01 01:27:00,Normal,1,Tomato,55.4656,60.0,4.5344,0.677,22.72,14.52,0.000128,0.000147,0.0,0.0,0.000147,9.23,18.15,0.036303,0.0363,0.0001,0.0,55.4707,0.0,388.259
88,2026-06-01 01:28:00,Normal,1,Tomato,55.4707,60.0,4.5293,0.6771,22.68,14.54,8.6e-05,9.9e-05,0.0,0.0,9.9e-05,9.23,18.14,0.036274,0.0363,0.0001,0.0,55.4759,0.0,388.2952
89,2026-06-01 01:29:00,Normal,1,Tomato,55.4759,60.0,4.5241,0.6772,22.65,14.52,1.6e-05,1.8e-05,0.0,0.0,1.8e-05,9.23,18.12,0.036244,0.0362,0.0,0.0,55.4811,0.0,388.3314
90,2026-06-01 01:30:00,Normal,1,Tomato,55.4811,60.0,4.5189,0.6774,22.61,15.15,0.000167,0.000192,0.0,0.0,0.000192,9.23,18.11,0.036214,0.0362,0.0002,0.0,55.4862,0.0,388.3676
91,2026-06-01 01:31:00,Normal,1,Tomato,55.4862,60.0,4.5138,0.6775,22.57,14.43,9.3e-05,0.000107,0.0,0.0,0.000107,9.23,18.09,0.036186,0.0362,0.0001,0.0,55.4914,0.0,388.4036
92,2026-06-01 01:32:00,Normal,1,Tomato,55.4914,60.0,4.5086,0.6776,22.53,14.77,0.000133,0.000153,0.0,0.0,0.000153,9.23,18.08,0.036156,0.0362,0.0002,0.0,55.4965,0.0,388.4397
93,2026-06-01 01:33:00,Normal,1,Tomato,55.4965,60.0,4.5035,0.6777,22.5,14.4,6.4e-05,7.4e-05,0.0,0.0,7.4e-05,9.23,18.06,0.036127,0.0361,0.0001,0.0,55.5017,0.0,388.4757
94,2026-06-01 01:34:00,Normal,1,Tomato,55.5017,60.0,4.4983,0.6778,22.46,14.24,7e-05,8e-05,0.0,0.0,8e-05,9.23,18.05,0.036098,0.0361,0.0001,0.0,55.5068,0.0,388.5118
95,2026-06-01 01:35:00,Normal,1,Tomato,55.5068,60.0,4.4932,0.6779,22.42,14.23,3.4e-05,3.9e-05,0.0,0.0,3.9e-05,9.23,18.03,0.036069,0.0361,0.0,0.0,55.512,0.0,388.5478
96,2026-06-01 01:36:00,Normal,1,Tomato,55.512,60.0,4.488,0.678,22.38,15.03,0.000148,0.00017,0.0,0.0,0.00017,9.23,18.02,0.036039,0.036,0.0002,0.0,55.5171,0.0,388.5838
97,2026-06-01 01:37:00,Normal,1,Tomato,55.5171,60.0,4.4829,0.6782,22.34,14.52,9.9e-05,0.000114,0.0,0.0,0.000114,9.23,18.01,0.03601,0.036,0.0001,0.0,55.5222,0.0,388.6197
98,2026-06-01 01:38:00,Normal,1,Tomato,55.5222,60.0,4.4778,0.6783,22.31,14.54,0.000118,0.000136,0.0,0.0,0.000136,9.23,17.99,0.035981,0.036,0.0001,0.0,55.5273,0.0,388.6556
99,2026-06-01 01:39:00,Normal,1,Tomato,55.5273,60.0,4.4727,0.6784,22.27,15.1,0.000116,0.000133,0.0,0.0,0.000133,9.23,17.98,0.035952,0.036,0.0001,0.0,55.5325,0.0,388.6914
100,2026-06-01 01:40:00,Normal,1,Tomato,55.5325,60.0,4.4675,0.6785,22.23,14.97,0.000138,0.000159,0.0,0.0,0.000159,9.23,17.96,0.035923,0.0359,0.0002,0.0,55.5376,0.0,388.7272
101,2026-06-01 01:41:00,Normal,1,Tomato,55.5376,60.0,4.4624,0.6786,22.19,14.77,0.000117,0.000135,0.0,0.0,0.000135,9.23,17.95,0.035894,0.0359,0.0001,0.0,55.5427,0.0,388.763
102,2026-06-01 01:42:00,Normal,1,Tomato,55.5427,60.0,4.4573,0.6787,22.16,14.22,1e-05,1.2e-05,0.0,0.0,1.2e-05,9.23,17.93,0.035865,0.0359,0.0,0.0,55.5478,0.0,388.7988
103,2026-06-01 01:43:00,Normal,1,Tomato,55.5478,60.0,4.4522,0.6788,22.12,14.32,4.9e-05,5.6e-05,0.0,0.0,5.6e-05,9.23,17.92,0.035837,0.0358,0.0001,0.0,55.5529,0.0,388.8347
104,2026-06-01 01:44:00,Normal,1,Tomato,55.5529,60.0,4.4471,0.679,22.08,14.13,3.3e-05,3.8e-05,0.0,0.0,3.8e-05,9.23,17.9,0.035808,0.0358,0.0,0.0,55.558,0.0,388.8705
105,2026-06-01 01:45:00,Normal,1,Tomato,55.558,60.0,4.442,0.6791,22.04,14.74,0.000117,0.000135,0.0,0.0,0.000135,9.23,17.89,0.035779,0.0358,0.0001,0.0,55.5631,0.0,388.9063
106,2026-06-01 01:46:00,Normal,1,Tomato,55.5631,60.0,4.4369,0.6792,22.0,14.43,7.5e-05,8.6e-05,0.0,0.0,8.6e-05,9.23,17.88,0.035751,0.0358,0.0001,0.0,55.5682,0.0,388.9419
107,2026-06-01 01:47:00,Normal,1,Tomato,55.5682,60.0,4.4318,0.6793,21.97,14.14,0.0,0.0,0.0,0.0,0.0,9.23,17.86,0.035722,0.0357,0.0,0.0,55.5733,0.0,388.9776
108,2026-06-01 01:48:00,Normal,1,Tomato,55.5733,60.0,4.4267,0.6794,21.93,14.24,6.8e-05,7.8e-05,0.0,0.0,7.8e-05,9.23,17.85,0.035693,0.0357,0.0001,0.0,55.5784,0.0,389.0133
109,2026-06-01 01:49:00,Normal,1,Tomato,55.5784,60.0,4.4216,0.6795,21.89,13.97,0.0,0.0,0.0,0.0,0.0,9.23,17.83,0.035665,0.0357,0.0,0.0,55.5835,0.0,389.0489
110,2026-06-01 01:50:00,Normal,1,Tomato,55.5835,60.0,4.4165,0.6796,21.85,14.29,6.5e-05,7.5e-05,0.0,0.0,7.5e-05,9.23,17.82,0.035636,0.0356,0.0001,0.0,55.5886,0.0,389.0846
111,2026-06-01 01:51:00,Normal,1,Tomato,55.5886,60.0,4.4114,0.6797,21.81,14.13,0.0,0.0,0.0,0.0,0.0,9.23,17.8,0.035607,0.0356,0.0,0.0,55.5937,0.0,389.1202
112,2026-06-01 01:52:00,Normal,1,Tomato,55.5937,60.0,4.4063,0.6799,21.78,14.63,8.8e-05,0.000101,0.0,0.0,0.000101,9.23,17.79,0.035579,0.0356,0.0001,0.0,55.5988,0.0,389.1558
113,2026-06-01 01:53:00,Normal,1,Tomato,55.5988,60.0,4.4012,0.68,21.74,14.54,4.5e-05,5.2e-05,0.0,0.0,5.2e-05,9.23,17.78,0.035551,0.0356,0.0001,0.0,55.6038,0.0,389.1913
114,2026-06-01 01:54:00,Normal,1,Tomato,55.6038,60.0,4.3962,0.6801,21.7,15.41,0.000158,0.000182,0.0,0.0,0.000182,9.23,17.76,0.035523,0.0355,0.0002,0.0,55.6089,0.0,389.2268
115,2026-06-01 01:55:00,Normal,1,Tomato,55.6089,60.0,4.3911,0.6802,21.66,14.8,0.000106,0.000122,0.0,0.0,0.000122,9.23,17.75,0.035495,0.0355,0.0001,0.0,55.6139,0.0,389.2621
