step,timestamp,scenario,zone_id,crop,soil_type,area_m2,soil_moisture,target_moisture,moisture_error,rsm,soil_stress,weather_stress,water_demand,et0,kc,etc,rainfall,effective_rainfall,crop_water_deficit,irrigation_command,irrigation_application,irrigation_volume_l,infiltration,actual_et,drainage,next_soil_moisture,water_balance_residual,storage_mm
7,2026-06-01 00:07:00,Normal,3,Maize,Clay,80.0,65.0073,65.0,-0.0073,0.7779,14.16,15.93,9.23,0.000322,1.2,0.000386,0.0,0.0,0.000386,5.36,0.010729,0.8583,0.0107,0.0004,0.0,65.0083,0.0,650.0729
8,2026-06-01 00:08:00,Normal,1,Tomato,Loam,100.0,55.0481,60.0,4.9519,0.6677,25.67,15.92,9.23,0.000336,1.15,0.000386,0.0,0.0,0.000386,20.62,0.04124,4.124,0.0412,0.0004,0.0,55.0539,0.0,385.3366
8,2026-06-01 00:08:00,Normal,2,Wheat,Sandy,120.0,42.1101,55.0,12.8899,0.5741,55.84,15.92,9.23,0.000336,0.85,0.000286,0.0,0.0,0.000286,61.43,0.122864,14.7437,0.1229,0.0003,0.0,42.1237,0.0,378.9909
8,2026-06-01 00:08:00,Normal,3,Maize,Clay,80.0,65.0083,65.0,-0.0083,0.778,14.16,15.92,9.23,0.000336,1.2,0.000403,0.0,0.0,0.000403,5.36,0.01073,0.8584,0.0107,0.0004,0.0,65.0094,0.0,650.0832
9,2026-06-01 00:09:00,Normal,1,Tomato,Loam,100.0,55.0539,60.0,4.9461,0.6679,25.63,16.01,9.23,0.000156,1.15,0.000179,0.0,0.0,0.000179,20.49,0.040987,4.0987,0.041,0.0002,0.0,55.0598,0.0,385.3775
9,2026-06-01 00:09:00,Normal,2,Wheat,Sandy,120.0,42.1237,55.0,12.8763,0.5744,55.78,16.01,9.23,0.000156,0.85,0.000133,0.0,0.0,0.000133,61.3,0.122599,14.7119,0.1226,0.0001,0.0,42.1373,0.0,379.1135
9,2026-06-01 00:09:00,Normal,3,Maize,Clay,80.0,65.0094,65.0,-0.0094,0.778,14.16,16.01,9.23,0.000156,1.2,0.000187,0.0,0.0,0.000187,5.37,0.01073,0.8584,0.0107,0.0002,0.0,65.0104,0.0,650.0935
10,2026-06-01 00:10:00,Normal,1,Tomato,Loam,100.0,55.0598,60.0,4.9402,0.668,25.59,15.88,9.23,0.000434,1.15,0.000499,0.0,0.0,0.000499,20.36,0.040729,4.0729,0.0407,0.0005,0.0,55.0655,0.0,385.4183
10,2026-06-01 00:10:00,Normal,2,Wheat,Sandy,120.0,42.1373,55.0,12.8627,0.5747,55.71,15.88,9.23,0.000434,0.85,0.000369,0.0,0.0,0.000369,61.17,0.122336,14.6803,0.1223,0.0004,0.0,42.1509,0.0,379.236
10,2026-06-01 00:10:00,Normal,3,Maize,Clay,80.0,65.0104,65.0,-0.0104,0.778,14.16,15.88,9.23,0.000434,1.2,0.000521,0.0,0.0,0.000521,5.37,0.010731,0.8585,0.0107,0.0005,0.0,65.0114,0.0,650.104
11,2026-06-01 00:11:00,Normal,1,Tomato,Loam,100.0,55.0655,60.0,4.9345,0.6681,25.55,15.9,9.23,0.0002,1.15,0.00023,0.0,0.0,0.00023,20.24,0.040477,4.0477,0.0405,0.0002,0.0,55.0712,0.0,385.4585
11,2026-06-01 00:11:00,Normal,2,Wheat,Sandy,120.0,42.1509,55.0,12.8491,0.575,55.65,15.9,9.23,0.0002,0.85,0.00017,0.0,0.0,0.00017,61.04,0.122072,14.6487,0.1221,0.0002,0.0,42.1644,0.0,379.358
11,2026-06-01 00:11:00,Normal,3,Maize,Clay,80.0,65.0114,65.0,-0.0114,0.778,14.16,15.9,9.23,0.0002,1.2,0.00024,0.0,0.0,0.00024,5.37,0.010731,0.8585,0.0107,0.0002,0.0,65.0125,0.0,650.1142
12,2026-06-01 00:12:00,Normal,1,Tomato,Loam,100.0,55.0712,60.0,4.9288,0.6682,25.51,15.98,9.23,0.000385,1.15,0.000443,0.0,0.0,0.000443,20.11,0.040226,4.0226,0.0402,0.0004,0.0,55.0769,0.0,385.4987
12,2026-06-01 00:12:00,Normal,2,Wheat,Sandy,120.0,42.1644,55.0,12.8356,0.5753,55.59,15.98,9.23,0.000385,0.85,0.000327,0.0,0.0,0.000327,60.91,0.121811,14.6173,0.1218,0.0003,0.0,42.1779,0.0,379.4799
12,2026-06-01 00:12:00,Normal,3,Maize,Clay,80.0,65.0125,65.0,-0.0125,0.7781,14.16,15.98,9.23,0.000385,1.2,0.000462,0.0,0.0,0.000462,5.37,0.010732,0.8586,0.0107,0.0005,0.0,65.0135,0.0,650.1247
13,2026-06-01 00:13:00,Normal,1,Tomato,Loam,100.0,55.0769,60.0,4.9231,0.6684,25.47,15.91,9.23,0.000369,1.15,0.000424,0.0,0.0,0.000424,19.99,0.039975,3.9975,0.04,0.0004,0.0,55.0826,0.0,385.5385
13,2026-06-01 00:13:00,Normal,2,Wheat,Sandy,120.0,42.1779,55.0,12.8221,0.5757,55.53,15.91,9.23,0.000369,0.85,0.000314,0.0,0.0,0.000314,60.78,0.12155,14.586,0.1216,0.0003,0.0,42.1914,0.0,379.6014
13,2026-06-01 00:13:00,Normal,3,Maize,Clay,80.0,65.0135,65.0,-0.0135,0.7781,14.16,15.91,9.23,0.000369,1.2,0.000443,0.0,0.0,0.000443,5.37,0.010733,0.8586,0.0107,0.0004,0.0,65.0145,0.0,650.135
14,2026-06-01 00:14:00,Normal,1,Tomato,Loam,100.0,55.0826,60.0,4.9174,0.6685,25.43,15.99,9.23,0.000327,1.15,0.000376,0.0,0.0,0.000376,19.86,0.039723,3.9723,0.0397,0.0004,0.0,55.0882,0.0,385.5781
14,2026-06-01 00:14:00,Normal,2,Wheat,Sandy,120.0,42.1914,55.0,12.8086,0.576,55.46,15.99,9.23,0.000327,0.85,0.000278,0.0,0.0,0.000278,60.65,0.121293,14.5552,0.1213,0.0003,0.0,42.2048,0.0,379.7226
14,2026-06-01 00:14:00,Normal,3,Maize,Clay,80.0,65.0145,65.0,-0.0145,0.7781,14.16,15.99,9.23,0.000327,1.2,0.000392,0.0,0.0,0.000392,5.37,0.010733,0.8587,0.0107,0.0004,0.0,65.0156,0.0,650.1453
15,2026-06-01 00:15:00,Normal,1,Tomato,Loam,100.0,55.0882,60.0,4.9118,0.6686,25.39,15.98,9.23,0.000215,1.15,0.000247,0.0,0.0,0.000247,19.74,0.039474,3.9474,0.0395,0.0002,0.0,55.0938,0.0,385.6174
15,2026-06-01 00:15:00,Normal,2,Wheat,Sandy,120.0,42.2048,55.0,12.7952,0.5763,55.4,15.98,9.23,0.000215,0.85,0.000183,0.0,0.0,0.000183,60.52,0.121037,14.5245,0.121,0.0002,0.0,42.2183,0.0,379.8436
15,2026-06-01 00:15:00,Normal,3,Maize,Clay,80.0,65.0156,65.0,-0.0156,0.7781,14.16,15.98,9.23,0.000215,1.2,0.000258,0.0,0.0,0.000258,5.37,0.010734,0.8587,0.0107,0.0003,0.0,65.0166,0.0,650.1556
16,2026-06-01 00:16:00,Normal,1,Tomato,Loam,100.0,55.0938,60.0,4.9062,0.6688,25.35,16.04,9.23,0.00027,1.15,0.00031,0.0,0.0,0.00031,19.61,0.039222,3.9222,0.0392,0.0003,0.0,55.0994,0.0,385.6566
16,2026-06-01 00:16:00,Normal,2,Wheat,Sandy,120.0,42.2183,55.0,12.7817,0.5766,55.34,16.04,9.23,0.00027,0.85,0.000229,0.0,0.0,0.000229,60.39,0.120778,14.4934,0.1208,0.0002,0.0,42.2317,0.0,379.9645
16,2026-06-01 00:16:00,Normal,3,Maize,Clay,80.0,65.0166,65.0,-0.0166,0.7781,14.17,16.04,9.23,0.00027,1.2,0.000324,0.0,0.0,0.000324,5.37,0.010735,0.8588,0.0107,0.0003,0.0,65.0177,0.0,650.1661
17,2026-06-01 00:17:00,Normal,1,Tomato,Loam,100.0,55.0994,60.0,4.9006,0.6689,25.32,15.92,9.23,0.000224,1.15,0.000258,0.0,0.0,0.000258,19.49,0.03897,3.897,0.039,0.0003,0.0,55.1049,0.0,385.6955
17,2026-06-01 00:17:00,Normal,2,Wheat,Sandy,120.0,42.2317,55.0,12.7683,0.5769,55.28,15.92,9.23,0.000224,0.85,0.00019,0.0,0.0,0.00019,60.26,0.120521,14.4625,0.1205,0.0002,0.0,42.245,0.0,380.085
17,2026-06-01 00:17:00,Normal,3,Maize,Clay,80.0,65.0177,65.0,-0.0177,0.7782,14.17,15.92,9.23,0.000224,1.2,0.000269,0.0,0.0,0.000269,5.37,0.010735,0.8588,0.0107,0.0003,0.0,65.0187,0.0,650.1765
18,2026-06-01 00:18:00,Normal,1,Tomato,Loam,100.0,55.1049,60.0,4.8951,0.669,25.28,16.03,9.23,0.000283,1.15,0.000325,0.0,0.0,0.000325,19.36,0.038722,3.8722,0.0387,0.0003,0.0,55.1104,0.0,385.7342
18,2026-06-01 00:18:00,Normal,2,Wheat,Sandy,120.0,42.245,55.0,12.755,0.5773,55.22,16.03,9.23,0.000283,0.85,0.000241,0.0,0.0,0.000241,60.13,0.120268,14.4322,0.1203,0.0002,0.0,42.2584,0.0,380.2053
18,2026-06-01 00:18:00,Normal,3,Maize,Clay,80.0,65.0187,65.0,-0.0187,0.7782,14.17,16.03,9.23,0.000283,1.2,0.00034,0.0,0.0,0.00034,5.37,0.010736,0.8589,0.0107,0.0003,0.0,65.0197,0.0,650.187
19,2026-06-01 00:19:00,Normal,1,Tomato,Loam,100.0,55.1104,60.0,4.8896,0.6691,25.24,15.98,9.23,0.000235,1.15,0.00027,0.0,0.0,0.00027,19.24,0.038475,3.8475,0.0385,0.0003,0.0,55.1158,0.0,385.7726
19,2026-06-01 00:19:00,Normal,2,Wheat,Sandy,120.0,42.2584,55.0,12.7416,0.5776,55.16,15.98,9.23,0.000235,0.85,0.0002,0.0,0.0,0.0002,60.01,0.120015,14.4018,0.12,0.0002,0.0,42.2717,0.0,380.3253
19,2026-06-01 00:19:00,Normal,3,Maize,Clay,80.0,65.0197,65.0,-0.0197,0.7782,14.17,15.98,9.23,0.000235,1.2,0.000282,0.0,0.0,0.000282,5.37,0.010736,0.8589,0.0107,0.0003,0.0,65.0208,0.0,650.1974
20,2026-06-01 00:20:00,Normal,1,Tomato,Loam,100.0,55.1158,60.0,4.8842,0.6692,25.2,15.93,9.23,0.000119,1.15,0.000137,0.0,0.0,0.000137,19.12,0.038232,3.8232,0.0382,0.0001,0.0,55.1213,0.0,385.8108
20,2026-06-01 00:20:00,Normal,2,Wheat,Sandy,120.0,42.2717,55.0,12.7283,0.5779,55.09,15.93,9.23,0.000119,0.85,0.000101,0.0,0.0,0.000101,59.88,0.119764,14.3717,0.1198,0.0001,0.0,42.285,0.0,380.4451
20,2026-06-01 00:20:00,Normal,3,Maize,Clay,80.0,65.0208,65.0,-0.0208,0.7782,14.17,15.93,9.23,0.000119,1.2,0.000143,0.0,0.0,0.000143,5.37,0.010737,0.859,0.0107,0.0001,0.0,65.0218,0.0,650.2079
21,2026-06-01 00:21:00,Normal,1,Tomato,Loam,100.0,55.1213,60.0,4.8787,0.6694,25.16,15.86,9.23,0.00034,1.15,0.000391,0.0,0.0,0.000391,18.99,0.037982,3.7982,0.038,0.0004,0.0,55.1266,0.0,385.8489
21,2026-06-01 00:21:00,Normal,2,Wheat,Sandy,120.0,42.285,55.0,12.715,0.5782,55.03,15.86,9.23,0.00034,0.85,0.000289,0.0,0.0,0.000289,59.76,0.119513,14.3416,0.1195,0.0003,0.0,42.2982,0.0,380.5648
21,2026-06-01 00:21:00,Normal,3,Maize,Clay,80.0,65.0218,65.0,-0.0218,0.7783,14.17,15.86,9.23,0.00034,1.2,0.000408,0.0,0.0,0.000408,5.37,0.010738,0.859,0.0107,0.0004,0.0,65.0229,0.0,650.2185
22,2026-06-01 00:22:00,Normal,1,Tomato,Loam,100.0,55.1266,60.0,4.8734,0.6695,25.13,16.05,9.23,0.000246,1.15,0.000283,0.0,0.0,0.000283,18.87,0.037741,3.7741,0.0377,0.0003,0.0,55.132,0.0,385.8865
22,2026-06-01 00:22:00,Normal,2,Wheat,Sandy,120.0,42.2982,55.0,12.7018,0.5785,54.97,16.05,9.23,0.000246,0.85,0.000209,0.0,0.0,0.000209,59.66,0.119321,14.3185,0.1193,0.0002,0.0,42.3115,0.0,380.684
22,2026-06-01 00:22:00,Normal,3,Maize,Clay,80.0,65.0229,65.0,-0.0229,0.7783,14.17,16.05,9.23,0.000246,1.2,0.000295,0.0,0.0,0.000295,5.37,0.010738,0.8591,0.0107,0.0003,0.0,65.0239,0.0,650.2288
23,2026-06-01 00:23:00,Normal,1,Tomato,Loam,100.0,55.132,60.0,4.868,0.6696,25.09,15.86,9.23,0.00022,1.15,0.000253,0.0,0.0,0.000253,18.75,0.037494,3.7494,0.0375,0.0003,0.0,55.1373,0.0,385.924
23,2026-06-01 00:23:00,Normal,2,Wheat,Sandy,120.0,42.3115,55.0,12.6885,0.5788,54.91,15.86,9.23,0.00022,0.85,0.000187,0.0,0.0,0.000187,59.6,0.119206,14.3047,0.1192,0.0002,0.0,42.3247,0.0,380.8031
23,2026-06-01 00:23:00,Normal,3,Maize,Clay,80.0,65.0239,65.0,-0.0239,0.7783,14.17,15.86,9.23,0.00022,1.2,0.000264,0.0,0.0,0.000264,5.37,0.010739,0.8591,0.0107,0.0003,0.0,65.025,0.0,650.2392
24,2026-06-01 00:24:00,Normal,1,Tomato,Loam,100.0,55.1373,60.0,4.8627,0.6697,25.05,15.81,9.23,0.00021,1.15,0.000241,0.0,0.0,0.000241,18.63,0.037252,3.7252,0.0373,0.0002,0.0,55.1426,0.0,385.9612
24,2026-06-01 00:24:00,Normal,2,Wheat,Sandy,120.0,42.3247,55.0,12.6753,0.5792,54.86,15.81,9.23,0.00021,0.85,0.000179,0.0,0.0,0.000179,59.55,0.119092,14.2911,0.1191,0.0002,0.0,42.3379,0.0,380.9221
24,2026-06-01 00:24:00,Normal,3,Maize,Clay,80.0,65.025,65.0,-0.025,0.7783,14.17,15.81,9.23,0.00021,1.2,0.000252,0.0,0.0,0.000252,5.37,0.01074,0.8592,0.0107,0.0003,0.0,65.026,0.0,650.2497
25,2026-06-01 00:25:00,Normal,1,Tomato,Loam,100.0,55.1426,60.0,4.8574,0.6698,25.02,15.8,9.23,0.000264,1.15,0.000304,0.0,0.0,0.000304,18.5,0.037009,3.7009,0.037,0.0003,0.0,55.1478,0.0,385.9982
25,2026-06-01 00:25:00,Normal,2,Wheat,Sandy,120.0,42.3379,55.0,12.6621,0.5795,54.8,15.8,9.23,0.000264,0.85,0.000224,0.0,0.0,0.000224,59.49,0.11898,14.2776,0.119,0.0002,0.0,42.3511,0.0,381.041
25,2026-06-01 00:25:00,Normal,3,Maize,Clay,80.0,65.026,65.0,-0.026,0.7784,14.17,15.8,9.23,0.000264,1.2,0.000317,0.0,0.0,0.000317,5.37,0.01074,0.8592,0.0107,0.0003,0.0,65.0271,0.0,650.2602
26,2026-06-01 00:26:00,Normal,1,Tomato,Loam,100.0,55.1478,60.0,4.8522,0.67,24.98,15.87,9.23,0.000176,1.15,0.000202,0.0,0.0,0.000202,18.44,0.036887,3.6887,0.0369,0.0002,0.0,55.1531,0.0,386.0349
26,2026-06-01 00:26:00,Normal,2,Wheat,Sandy,120.0,42.3511,55.0,12.6489,0.5798,54.74,15.87,9.23,0.000176,0.85,0.00015,0.0,0.0,0.00015,59.43,0.118867,14.264,0.1189,0.0001,0.0,42.3643,0.0,381.1598
26,2026-06-01 00:26:00,Normal,3,Maize,Clay,80.0,65.0271,65.0,-0.0271,0.7784,14.17,15.87,9.23,0.000176,1.2,0.000211,0.0,0.0,0.000211,5.37,0.010741,0.8593,0.0107,0.0002,0.0,65.0281,0.0,650.2706
27,2026-06-01 00:27:00,Normal,1,Tomato,Loam,100.0,55.1531,60.0,4.8469,0.6701,24.95,15.83,9.23,8.5e-05,1.15,9.8e-05,0.0,0.0,9.8e-05,18.44,0.036879,3.6879,0.0369,0.0001,0.0,55.1583,0.0,386.0716
27,2026-06-01 00:27:00,Normal,2,Wheat,Sandy,120.0,42.3643,55.0,12.6357,0.5801,54.68,15.83,9.23,8.5e-05,0.85,7.2e-05,0.0,0.0,7.2e-05,59.38,0.118754,14.2505,0.1188,0.0001,0.0,42.3775,0.0,381.2785
27,2026-06-01 00:27:00,Normal,3,Maize,Clay,80.0,65.0281,65.0,-0.0281,0.7784,14.18,15.83,9.23,8.5e-05,1.2,0.000102,0.0,0.0,0.000102,5.37,0.010741,0.8593,0.0107,0.0001,0.0,65.0292,0.0,650.2811
28,2026-06-01 00:28:00,Normal,1,Tomato,Loam,100.0,55.1583,60.0,4.8417,0.6702,24.91,15.81,9.23,0.00028,1.15,0.000322,0.0,0.0,0.000322,18.44,0.036871,3.6871,0.0369,0.0003,0.0,55.1636,0.0,386.1084
28,2026-06-01 00:28:00,Normal,2,Wheat,Sandy,120.0,42.3775,55.0,12.6225,0.5804,54.62,15.81,9.23,0.00028,0.85,0.000238,0.0,0.0,0.000238,59.32,0.118641,14.237,0.1186,0.0002,0.0,42.3906,0.0,381.3972
28,2026-06-01 00:28:00,Normal,3,Maize,Clay,80.0,65.0292,65.0,-0.0292,0.7784,14.18,15.81,9.23,0.00028,1.2,0.000336,0.0,0.0,0.000336,5.37,0.010742,0.8594,0.0107,0.0003,0.0,65.0302,0.0,650.2917
29,2026-06-01 00:29:00,Normal,1,Tomato,Loam,100.0,55.1636,60.0,4.8364,0.6703,24.87,15.79,9.23,0.000263,1.15,0.000302,0.0,0.0,0.000302,18.43,0.036863,3.6863,0.0369,0.0003,0.0,55.1688,0.0,386.1449
29,2026-06-01 00:29:00,Normal,2,Wheat,Sandy,120.0,42.3906,55.0,12.6094,0.5807,54.56,15.79,9.23,0.000263,0.85,0.000224,0.0,0.0,0.000224,59.27,0.11853,14.2236,0.1185,0.0002,0.0,42.4038,0.0,381.5156
29,2026-06-01 00:29:00,Normal,3,Maize,Clay,80.0,65.0302,65.0,-0.0302,0.7784,14.18,15.79,9.23,0.000263,1.2,0.000316,0.0,0.0,0.000316,5.37,0.010743,0.8594,0.0107,0.0003,0.0,65.0313,0.0,650.3021
30,2026-06-01 00:30:00,Normal,1,Tomato,Loam,100.0,55.1688,60.0,4.8312,0.6704,24.84,15.97,9.23,0.000245,1.15,0.000282,0.0,0.0,0.000282,18.43,0.036855,3.6855,0.0369,0.0003,0.0,55.174,0.0,386.1815
30,2026-06-01 00:30:00,Normal,2,Wheat,Sandy,120.0,42.4038,55.0,12.5962,0.581,54.51,15.97,9.23,0.000245,0.85,0.000208,0.0,0.0,0.000208,59.21,0.118418,14.2102,0.1184,0.0002,0.0,42.4169,0.0,381.6339
30,2026-06-01 00:30:00,Normal,3,Maize,Clay,80.0,65.0313,65.0,-0.0313,0.7785,14.18,15.97,9.23,0.000245,1.2,0.000294,0.0,0.0,0.000294,5.37,0.010743,0.8595,0.0107,0.0003,0.0,65.0323,0.0,650.3125
31,2026-06-01 00:31:00,Normal,1,Tomato,Loam,100.0,55.174,60.0,4.826,0.6705,24.8,15.65,9.23,0.000131,1.15,0.000151,0.0,0.0,0.000151,18.42,0.036847,3.6847,0.0368,0.0002,0.0,55.1793,0.0,386.2181
31,2026-06-01 00:31:00,Normal,2,Wheat,Sandy,120.0,42.4169,55.0,12.5831,0.5814,54.45,15.65,9.23,0.000131,0.85,0.000111,0.0,0.0,0.000111,59.15,0.118309,14.197,0.1183,0.0001,0.0,42.43,0.0,381.7521
31,2026-06-01 00:31:00,Normal,3,Maize,Clay,80.0,65.0323,65.0,-0.0323,0.7785,14.18,15.65,9.23,0.000131,1.2,0.000157,0.0,0.0,0.000157,5.37,0.010744,0.8595,0.0107,0.0002,0.0,65.0333,0.0,650.3229
32,2026-06-01 00:32:00,Normal,1,Tomato,Loam,100.0,55.1793,60.0,4.8207,0.6707,24.76,15.61,9.23,0.000225,1.15,0.000259,0.0,0.0,0.000259,18.42,0.036838,3.6838,0.0368,0.0003,0.0,55.1845,0.0,386.2548
32,2026-06-01 00:32:00,Normal,2,Wheat,Sandy,120.0,42.43,55.0,12.57,0.5817,54.39,15.61,9.23,0.000225,0.85,0.000191,0.0,0.0,0.000191,59.1,0.118199,14.1839,0.1182,0.0002,0.0,42.4431,0.0,381.8703
32,2026-06-01 00:32:00,Normal,3,Maize,Clay,80.0,65.0333,65.0,-0.0333,0.7785,14.18,15.61,9.23,0.000225,1.2,0.00027,0.0,0.0,0.00027,5.37,0.010744,0.8596,0.0107,0.0003,0.0,65.0344,0.0,650.3335
33,2026-06-01 00:33:00,Normal,1,Tomato,Loam,100.0,55.1845,60.0,4.8155,0.6708,24.73,15.55,9.23,0.000139,1.15,0.00016,0.0,0.0,0.00016,18.42,0.03683,3.683,0.0368,0.0002,0.0,55.1897,0.0,386.2914
33,2026-06-01 00:33:00,Normal,2,Wheat,Sandy,120.0,42.4431,55.0,12.5569,0.582,54.33,15.55,9.23,0.000139,0.85,0.000118,0.0,0.0,0.000118,59.04,0.11809,14.1708,0.1181,0.0001,0.0,42.4563,0.0,381.9883
33,2026-06-01 00:33:00,Normal,3,Maize,Clay,80.0,65.0344,65.0,-0.0344,0.7785,14.18,15.55,9.23,0.000139,1.2,0.000167,0.0,0.0,0.000167,5.37,0.010745,0.8596,0.0107,0.0002,0.0,65.0355,0.0,650.344
